id.cancer	sex	age	country_name	year	cases.number
	Female		Canada	1966	38761
	Female		Canada	1967	40721
	Female		Canada	1968	41430
	Female		Canada	1969	42697
	Female		Canada	1970	43802
	Female		Canada	1971	44167
	Female		Canada	1972	46285
	Female		Canada	1973	47077
	Female		Canada	1974	48405
	Female		Canada	1975	47429
	Female		Canada	1976	48268
	Female		Canada	1977	50172
	Female		Canada	1978	51701
	Female		Canada	1979	54093
	Female		Canada	1980	54591
	Female		Canada	1981	56427
	Female		Canada	1982	57518
	Female		Canada	1983	58953
	Female		Canada	1984	61358
	Female		Canada	1985	63746
	Female		Canada	1986	65111
	Female		Canada	1987	66725
	Female		Canada	1988	68475
	Female		Canada	1989	69017
	Female		Canada	1990	70936
	Female		Canada	1991	72221
	Female		Canada	1992	73595
	Female		Canada	1993	75995
	Female		Canada	1994	77472
	Female		Canada	1995	78096
	Female		Canada	1996	80825
	Female		Canada	1997	79616
	Female		Canada	1998	82435
	Female		Canada	1999	83439
	Female		Canada	2000	85224
	Female		Canada	2001	86530
	Female		Canada	2002	89191
	Female		Canada	2003	90778
	Female		Canada	2004	92531
	Female		Canada	2005	92399
	Female		Canada	2006	92777
	Female		Canada	2007	95994
	Female		Canada	2008	97004
	Female		Canada	2009	97692
	Female		Canada	2010	99453
	Male		Canada	1950	24907
	Male		Canada	1951	25165
	Male		Canada	1952	26978
	Male		Canada	1953	27478
	Male		Canada	1954	28334
	Male		Canada	1955	34244
	Male		Canada	1956	35166
	Male		Canada	1957	35857
	Male		Canada	1958	37087
	Male		Canada	1959	37177
	Male		Canada	1960	39307
	Male		Canada	1961	40940
	Male		Canada	1962	41750
	Male		Canada	1963	42278
	Male		Canada	1964	43287
	Male		Canada	1965	43735
	Male		Canada	1966	46091
	Male		Canada	1967	47209
	Male		Canada	1968	48307
	Male		Canada	1969	49765
	Male		Canada	1970	51477
	Male		Canada	1971	52075
	Male		Canada	1972	53589
	Male		Canada	1973	55000
	Male		Canada	1974	55005
	Male		Canada	1975	56358
	Male		Canada	1976	57461
	Male		Canada	1977	59114
	Male		Canada	1978	61230
	Male		Canada	1979	62447
	Male		Canada	1980	64063
